publisher,license,is_referenced_by_count,link,authors,abstract,title,doi,type,journal,issn,volume,issue,start_page,end_page,publication_date,references,ablation
Elsevier BV,"[{'start': {'date-parts': [[2006, 9, 1]], 'date-time': '2006-09-01T00:00:00Z', 'timestamp': 1157068800000}, 'content-version': 'tdm', 'delay-in-days': 0, 'URL': 'https://www.elsevier.com/tdm/userlicense/1.0/'}]",39,"[{'URL': 'https://api.elsevier.com/content/article/PII:S1010603006003248?httpAccept=text/xml', 'content-type': 'text/xml', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://api.elsevier.com/content/article/PII:S1010603006003248?httpAccept=text/plain', 'content-type': 'text/plain', 'content-version': 'vor', 'intended-application': 'text-mining'}]","[{'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'Michel', 'affiliation': None}]",,Laser ablation-based synthesis of functionalized colloidal nanomaterials in biocompatible solutions,10.1016/j.jphotochem.2006.06.008,journal-article,Journal of Photochemistry and Photobiology A: Chemistry,1010-6030,182,3,330,334,2006-09-01,"['10.1002/bbpc.19840881010', '10.1038/338596a0', '10.1016/0021-9797(92)90019-I', '10.1021/nl0347334', '10.1002/1438-5171(200112)2:4<261::AID-SIMO261>3.0.CO;2-P', '10.1002/bbpc.19930971112', '10.1021/jp953248x', '10.1021/jp984163+', '10.1021/jp001336y', '10.1021/jp001803b', '10.1021/jp004434s', '10.1016/S0927-7757(01)00854-8', '10.1016/S0169-4332(01)00634-1', '10.1016/S0169-4332(02)00936-4', '10.1021/jp034345q', '10.1063/1.1626793', '10.1021/ja048678s', '10.1117/12.525499', '10.1021/jp047134+']",True
Springer Science and Business Media LLC,"[{'start': {'date-parts': [[2011, 2, 1]], 'date-time': '2011-02-01T00:00:00Z', 'timestamp': 1296518400000}, 'content-version': 'unspecified', 'delay-in-days': 2588, 'URL': 'https://www.cambridge.org/core/terms'}]",1,"[{'URL': 'https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S1946427400079380', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'Michel', 'affiliation': None}]",An overview of research results related to the femtosecond laser ablation-based method for nanofabri-cation in aqueous solutions is presented. The method makes possible the production of stable biofunctionalized gold nanoparticle colloids with extremely small size (down to 2–2.5 nm) and size dispersion (down to 1–1.5 nm). The colloids are of importance for biosensing applications.,Laser ablation-based nanofabrication in aqueous solutions,10.1557/proc-850-mm5.5,journal-article,MRS Proceedings,1946-4274,850,,,,2004-01-01,"['10.1016/S0927-7757(01)00854-8', '10.1021/jp047134+', '10.1016/S0169-4332(01)00634-1', '10.1117/12.478575', '10.1021/jp004434s', '10.1021/cr030698+', '10.1063/1.1626793', '10.1117/12.525499', '10.1021/jp984163+', '10.1002/bbpc.19930971112', '10.1021/jp953248x', '10.1021/jp001336y', '10.1021/jp001803b', '10.1016/S0169-4332(02)00936-4', '10.1021/jp034345q', '10.1021/ja048678s']",True
AIP Publishing,,94,"[{'URL': 'https://pubs.aip.org/aip/apl/article-pdf/doi/10.1063/1.2360186/14364435/143518_1_online.pdf', 'content-type': 'application/pdf', 'content-version': 'vor', 'intended-application': 'syndication'}, {'URL': 'https://pubs.aip.org/aip/apl/article-pdf/doi/10.1063/1.2360186/14364435/143518_1_online.pdf', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Skorobogatiy', 'firstname': 'Maksim', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}]","The concept of a photonic crystal waveguide-based surface plasmon resonance sensor is proposed, in which plasmons on a surface of a thin metal film are excited by a Gaussian-like leaky mode of an effectively single mode photonic crystal waveguide. The authors demonstrate that effective refractive index of a waveguide core mode can be designed to be considerably smaller than that of a core material, enabling efficient phase matching with plasmons at any wavelength of choice, while retaining highly sensitive response to changes in the refractive index of an analyte layer. This is attractive for the development of portable surface plasmon resonance biochemical sensors.",Photon crystal waveguide-based surface plasmon resonance biosensor,10.1063/1.2360186,journal-article,Applied Physics Letters,1077-3118,89,14,,,2006-10-02,"['10.1515/zna-1968-1247', '10.1016/0250-6874(83)85036-7', '10.1016/S0925-4005(97)80057-3', '10.1016/S0030-4018(97)00726-8', '10.1063/1.125493', '10.1146/annurev.biophys.26.1.541', '10.1016/0925-4005(95)01692-9', '10.1049/el:19960520', '10.1016/S0925-4005(01)00559-7', '10.1016/j.snb.2003.08.005', '10.1016/0925-4005(93)80021-3', '10.1088/0963-9659/5/2/006', '10.1016/S0925-4005(98)00328-1', '10.1016/S0925-4005(99)00034-9', '10.1016/j.snb.2004.08.030', '10.1364/OL.30.002991']",False
IOP Publishing,,46,"[{'URL': 'http://stacks.iop.org/1742-6596/59/i=1/a=074/pdf', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Kabashin', 'firstname': 'A V', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'M', 'affiliation': None}]",,Femtosecond laser ablation in aqueous solutions: a novel method to synthesize non-toxic metal colloids with controllable size,10.1088/1742-6596/59/1/074,journal-article,Journal of Physics: Conference Series,1742-6596,59,,354,359,2007-04-01,"['10.1002/bbpc.19930971112', '10.1366/0003702934066460', '10.1088/0953-8984/10/35/024', '10.1021/jp984163+', '10.1021/jp001336y', '10.1021/jp0037091', '10.1021/jp0111620', '10.1016/S0009-2614(01)01136-8', '10.1016/S0927-7757(01)00854-8', '10.1016/S0169-4332(02)00936-4', '10.1016/S0169-4332(01)00634-1', '10.1063/1.1626793', '10.1021/jp034345q', '10.1021/ja048678s', '10.1021/jp047134+', '10.1007/s00339-004-3081-4', '10.1007/s003400050617', '10.1016/j.apsusc.2004.02..013', '10.1007/s003390051417']",True
AIP Publishing,,50,"[{'URL': 'https://pubs.aip.org/aip/apl/article-pdf/82/10/1619/18576300/1619_1_online.pdf', 'content-type': 'application/pdf', 'content-version': 'vor', 'intended-application': 'syndication'}, {'URL': 'https://pubs.aip.org/aip/apl/article-pdf/82/10/1619/18576300/1619_1_online.pdf', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Kabashin', 'firstname': 'A. V.', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'M.', 'affiliation': None}]","Pulsed radiation of CO2 laser has been used to produce an optical breakdown on a silicon target in atmospheric air. After several breakdown initiations near the threshold of plasma production, a highly porous layer was formed under the radiation spot on the silicon surface. The fabricated layers presented the porosity of 75%–80% and were formed of silicon nanocrystals imbedded in SiO2 matrix. They exhibited strong photoluminescence (PL) around 2.0 eV, which was stable to a prolonged continuous illumination of samples. Possible mechanisms of nanostructure formation and PL origin are discussed.",Visible photoluminescence from nanostructured Si-based layers produced by air optical breakdown on silicon,10.1063/1.1557752,journal-article,Applied Physics Letters,1077-3118,82,10,1619,1621,2003-03-10,"['10.1063/1.103561', '10.1063/1.102921', '10.1103/PhysRevB.48.4883', '10.1063/1.116098', '10.1016/0040-6090(94)05612-H', '10.1143/JJAP.35.1361', '10.1063/1.1446217', '10.1063/1.111572', '10.1016/S0038-1098(00)00463-4', '10.1063/1.108331', '10.1016/0022-2313(93)90097-7', '10.1063/1.110792', '10.1088/0268-1242/12/8/009', '10.1103/PhysRev.95.359', '10.1063/1.122241', '10.1063/1.123838', '10.1063/1.88808', '10.1070/QE1997v027n06ABEH000974', '10.1063/1.121711', '10.1063/1.346719', '10.2109/jcersj.99.923']",False
SPIE,,2,,"[{'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'Michel', 'affiliation': None}]",,Laser-assisted methods for nanofabrication,10.1117/12.532281,proceedings-article,SPIE Proceedings,0277-786X,5339,,631,,2004-07-15,,True
SPIE,,0,,"[{'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}, {'lastname': 'Grigorenko', 'firstname': 'Alexander', 'affiliation': None}]",,Topologically dark metamaterials for ultra-sensitive optical biosensing,10.1117/12.3009629,proceedings-article,Nanoscale and Quantum Materials: From Synthesis and Laser Processing to Applications 2024,,,,20,,2024-03-13,,False
Optica Publishing Group,"[{'start': {'date-parts': [[2006, 9, 4]], 'date-time': '2006-09-04T00:00:00Z', 'timestamp': 1157328000000}, 'content-version': 'vor', 'delay-in-days': 246, 'URL': 'https://doi.org/10.1364/OA_License_v1#VOR-OA'}, {'start': {'date-parts': [[2006, 9, 4]], 'date-time': '2006-09-04T00:00:00Z', 'timestamp': 1157328000000}, 'content-version': 'tdm', 'delay-in-days': 246, 'URL': 'https://opg.optica.org/policies/opg-tdm-policy.json'}]",27,"[{'URL': 'https://www.osapublishing.org/viewmedia.cfm?URI=oe-14-18-8419&seq=0', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Skorobogatiy', 'firstname': 'Maksim A.', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrey', 'affiliation': None}]",,Plasmon excitation by the Gaussian-like core mode of a photonic crystal waveguide,10.1364/oe.14.008419,journal-article,Optics Express,1094-4087,14,18,8419,,2006-01-01,,False
AIP Publishing,,478,"[{'URL': 'https://pubs.aip.org/aip/jap/article-pdf/94/12/7941/18705558/7941_1_online.pdf', 'content-type': 'application/pdf', 'content-version': 'vor', 'intended-application': 'syndication'}, {'URL': 'https://pubs.aip.org/aip/jap/article-pdf/94/12/7941/18705558/7941_1_online.pdf', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Kabashin', 'firstname': 'A. V.', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'M.', 'affiliation': None}]","Femtosecond laser radiation has been used to ablate a gold target in pure deionized water to produce colloidal gold nanoparticles. We report evidence for two different mechanisms of material ablation in the liquid environment, whose relative contributions determine the size distribution of the produced particles. The first mechanism, associated with thermal-free femtosecond ablation, manifests itself at relatively low laser fluences F&amp;lt;400 J/cm2 and leads to very small (3–10 nm) and almost monodispersed gold colloids. The second one, attributed to the plasma-induced heating and ablation of the target, takes place at high fluences and gives rise to a much larger particle size and broad size distribution. The fabricated nanoparticles exhibit plasmon-related optical absorption peak and are of significance for biosensing applications.",Synthesis of colloidal nanoparticles during femtosecond laser ablation of gold in water,10.1063/1.1626793,journal-article,Journal of Applied Physics,1089-7550,94,12,7941,7943,2003-12-15,"['10.1007/BF03296063', '10.1063/1.121516', '10.1016/0040-6090(94)05612-H', '10.1143/JJAP.35.1361', '10.1063/1.1446217', '10.1021/jp953248x', '10.1021/jp001336y', '10.1021/jp004434s', '10.1016/S0927-7757(01)00854-8', '10.1016/S0169-4332(01)00634-1', '10.1016/S0169-4332(02)00936-4', '10.1016/S0169-4332(02)01230-8', '10.1021/jp034345q', '10.1117/12.478595', '10.1021/jp0111620', '10.1021/jp9917648', '10.1007/BF01567637', '10.1070/QE2001v031n05ABEH001958']",True
Elsevier BV,"[{'start': {'date-parts': [[2009, 12, 4]], 'date-time': '2009-12-04T00:00:00Z', 'timestamp': 1259884800000}, 'content-version': 'tdm', 'delay-in-days': 0, 'URL': 'https://www.elsevier.com/tdm/userlicense/1.0/'}]",18,"[{'URL': 'https://api.elsevier.com/content/article/PII:S0925400509007394?httpAccept=text/xml', 'content-type': 'text/xml', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://api.elsevier.com/content/article/PII:S0925400509007394?httpAccept=text/plain', 'content-type': 'text/plain', 'content-version': 'vor', 'intended-application': 'text-mining'}]","[{'lastname': 'Shi', 'firstname': 'Lina', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrei', 'affiliation': None}, {'lastname': 'Skorobogatiy', 'firstname': 'Maksim', 'affiliation': None}]",,"Spectral, amplitude and phase sensitivity of a plasmonic gas sensor in a metallic photonic crystal slab geometry: Comparison of the near and far field phase detection strategies",10.1016/j.snb.2009.09.036,journal-article,Sensors and Actuators B: Chemical,0925-4005,143,1,76,86,2009-12-04,,False
Informa UK Limited,,44,"[{'URL': 'https://www.tandfonline.com/doi/pdf/10.2217/nnm-2016-0228', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Kabashin', 'firstname': 'Andrei V', 'affiliation': None}, {'lastname': 'Timoshenko', 'firstname': 'Victor Yu', 'affiliation': None}]",,What Theranostic Applications Could Ultrapure Laser-Synthesized Si Nanoparticles have in Cancer?,10.2217/nnm-2016-0228,journal-article,Nanomedicine,1748-6963,11,17,2247,2250,2016-08-16,"['10.1038/nrc1566', '10.1016/j.nano.2005.06.004', '10.1038/nbt1340', '10.1002/adma.19950071215', '10.1038/nmat2398', '10.1038/srep25400', '10.1002/jps.20999', '10.1038/ncomms3326', '10.1134/S0021364006090128', '10.1021/nn1035262', '10.1039/b808500e', '10.1063/1.4829148', '10.1038/srep07034', '10.1021/nl025538c', '10.1021/ja064177q', '10.1007/s11671-010-9543-z', '10.1063/1.1626793', '10.1039/c3tb20285b', '10.1088/0957-4484/26/6/065601', '10.1364/OL.41.001486', '10.1038/srep24732', '10.1117/1.3086608']",True
OSA,,0,"[{'URL': 'https://www.osapublishing.org/viewmedia.cfm?URI=IPNRA-2009-JWA6&seq=0', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Shi', 'firstname': 'Lina', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrei', 'affiliation': None}, {'lastname': 'Skorobogatiy', 'firstname': 'Maksim', 'affiliation': None}]",,"Spectral, amplitude and phase sensitivity of a plasmonic gas sensor in a metallic photonic crystal slab geometry",10.1364/ipnra.2009.jwa6,proceedings-article,Advances in Optical Sciences Congress,,,,JWA6,,2009-01-01,"['10.1364/OL.31.001528', '10.1063/1.125493']",False
Elsevier BV,"[{'start': {'date-parts': [[2008, 11, 1]], 'date-time': '2008-11-01T00:00:00Z', 'timestamp': 1225497600000}, 'content-version': 'tdm', 'delay-in-days': 0, 'URL': 'https://www.elsevier.com/tdm/userlicense/1.0/'}]",11,"[{'URL': 'https://api.elsevier.com/content/article/PII:S003040180800730X?httpAccept=text/xml', 'content-type': 'text/xml', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://api.elsevier.com/content/article/PII:S003040180800730X?httpAccept=text/plain', 'content-type': 'text/plain', 'content-version': 'vor', 'intended-application': 'text-mining'}]","[{'lastname': 'Patskovsky', 'firstname': 'S.', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'M.', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'A.V.', 'affiliation': None}]",,Surface plasmon resonance polarizator for biosensing and imaging,10.1016/j.optcom.2008.07.061,journal-article,Optics Communications,0030-4018,281,21,5492,5496,2008-11-01,"['10.1016/0250-6874(83)85036-7', '10.1146/annurev.biophys.26.1.541', '10.1016/S0030-4018(97)00726-8', '10.1063/1.125493', '10.1364/OL.33.000434', '10.1364/OE.15.001745', '10.1063/1.1778218', '10.1364/AO.33.003502']",False
AIP Publishing,,6,"[{'URL': 'https://pubs.aip.org/aip/apl/article-pdf/68/2/173/18516240/173_1_online.pdf', 'content-type': 'application/pdf', 'content-version': 'vor', 'intended-application': 'syndication'}, {'URL': 'https://pubs.aip.org/aip/apl/article-pdf/68/2/173/18516240/173_1_online.pdf', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Kabashin', 'firstname': 'A. V.', 'affiliation': None}, {'lastname': 'Nikitin', 'firstname': 'P. I.', 'affiliation': None}]","A new mechanism of laser plasma generation of current along an irradiated conductive target, and a considerable (more than 1000 times) enhancement of magnetic field outside the plasma has been found. This mechanism is realized in experimental configurations with spatial asymmetries of target dimension scale. Such asymmetries with the largest possible scale was found to be the main factor that determines electromagnetic phenomena detected by external probes outside the laser plasma.",New method of magnetic field and current generation outside laser plasma,10.1063/1.116450,journal-article,Applied Physics Letters,1077-3118,68,2,173,175,1996-01-08,,False
