title,DOI,abstract,ablation
['Space-time structure of the magnetic field of a laser plasma and methods for its enhancement outside the plasma'],10.1103/physreve.55.3393,,
['New method of magnetic field and current generation outside laser plasma'],10.1063/1.116450,"<jats:p>A new mechanism of laser plasma generation of current along an irradiated conductive target, and a considerable (more than 1000 times) enhancement of magnetic field outside the plasma has been found. This mechanism is realized in experimental configurations with spatial asymmetries of target dimension scale. Such asymmetries with the largest possible scale was found to be the main factor that determines electromagnetic phenomena detected by external probes outside the laser plasma.</jats:p>",
['Surface plasmon resonance polarizator for biosensing and imaging'],10.1016/j.optcom.2008.07.061,,
['Electric fields of a laser spark produced by radiation with various parameters'],10.1070/qe1997v027n06abeh000974,,
['Interferometer based on a surface-plasmon resonance for sensor applications'],10.1070/qe1997v027n07abeh001013,,
['Bare laser-synthesized plasmonic Au and TiN nanoparticles as functional additives to polymer nanofiber platforms for tissue engineering applications'],10.1088/1742-6596/2058/1/012002,"<jats:title>Abstract</jats:title>
               <jats:p>Exhibiting strong optical absorption in the visible – near-infrared, plasmonic nanomaterials can be used as transducers in optical biosensing, contrast agents in bioimaging and synthesizers of photothermal therapy. Such functionalities promise their employment as functional elements in tissue engineering platforms, but such applications typically require ultraclean nanomaterials to minimize toxicity problems, which is not easy using conventional chemical synthesis routes. We recently demonstrated the possibility of fabricating ultraclean bare (ligand-free) plasmonic Au and TiN nanoparticles by ultrashort laser ablation in liquid ambient. Exempt of any toxic contaminants and exhibiting a series of imaging and therapeutic functionalities, these nanomaterials present promising objects for various biomedical applications. Here, we review our recent progress in the co-electrospinning of laser-synthesized Au and TiN nanoparticles with polymers to form functionalized matrices for tissue engineering.</jats:p>",
['Surface plasmon resonance bio- and chemical sensors with phase-polarisation contrast'],10.1016/s0925-4005(98)00326-8,,
['Two-step femtosecond laser ablation-based method for the synthesis of stable and ultra-pure gold nanoparticles in water'],10.1007/s00339-007-4001-1,,
['Fragmentation of colloidal nanoparticles by femtosecond laser-induced supercontinuum generation'],10.1063/1.2402944,"<jats:p>A femtosecond laser-based method to control the size characteristics of gold colloidal nanoparticles is reported. The method uses the supercontinuum generation produced through a strong nonlinear-optical interaction of the femtosecond radiation with a liquid to fragment relatively large colloids and reduce their agglomeration. The fragmented species then recoalesce to form smaller, less dispersed, and much more stable nanoparticles in the solution. The size of the nanoparticles after the treatment is independent of the initial characteristics of colloids, but depends strongly on laser parameters and on the presence of chemically active species in the solution.</jats:p>",
['Laser-assisted local patterning of ZnO-based spots for mirror-less lasing'],10.1007/s00339-008-4786-6,,
['Near-infrared surface plasmon resonance sensing on a Si platform with nanoparticle-based signal enhancement'],10.1016/j.optmat.2004.08.066,,
['Photoluminescence characterization of Si-based nanostructured films produced by pulsed laser ablation'],10.1116/1.1420494,"<jats:p>Photoluminescence (PL) properties of nanostructured Si-based films produced by pulsed laser ablation in a residual gas are studied. Two types of PL signals have been identified. Signals of the first type are sensitive to the ablation conditions with the PL peak position depending on the gas pressure during the deposition. Signals of the second type with PL peaks around 1.6–1.7 and 2.2– 2.3 eV are almost independent of the ablation conditions and are mainly determined by the presence of oxygen-related complexes in the film composition. These complexes can be formed through a prolonged natural oxidation or thermal annealing of the films, or through the direct laser ablation in the presence of oxygen. Possible mechanisms of PL signals are discussed.</jats:p>",
['Phase-sensitive silicon-based total internal reflection sensor'],10.1364/oe.15.012523,,
['Properties of nanostructured Ge produced by laser-induced air breakdown processing'],10.1063/1.2435801,"<jats:p>Germanium wafers have been modified by a technique of laser-induced air breakdown processing. It has been found that the treatment leads to the formation of porous layers, containing nanoscale holes, and consists of Ge nanocrystals embedded into GeO2 matrices. They exhibit strong and stable photoluminescence in the green and UV ranges (2.2 and 2.9eV), whose appearance could be explained by defects in the GeO2 matrix or quantum confinement effects. The locally patterned layers are of importance for optoelectronics and biosensing applications.</jats:p>",
['Surface plasmon-polariton Mach-Zehnder refractive index sensor'],10.1364/josab.25.001673,,
['Properties of nanoparticles generated during femtosecond laser machining in air and water'],10.1007/s00339-006-3852-1,,
['Exciton photoluminescence from ZnO layers produced by laser-induced gas breakdown processing'],10.1007/s00339-008-4484-4,,
['Electromagnetic diagnostics during pulsed laser deposition'],10.1016/0169-4332(95)00422-x,,
"['Phase‐sensitive surface plasmon resonance biosensors: methodology, instrumentation and applications']",10.1002/andp.201200203,"<jats:title>Abstract</jats:title><jats:p>Surface Plasmon Resonance (SPR) has become a central tool for label‐free characterization of biomolecular interactions. Based on monitoring of amplitude characteristics, conventional SPR sensors have been extensively explored, commercialized and applied for studies of many important interactions (antigen‐antibody, protein‐ligand etc), but this technology still lacks of sensitivity for the detection of relatively small and low copy number compounds. Phase‐sensitive SPR has recently emerged as an upgrade of this technology to resolve the sensitivity issue. Profiting from a sharp phase jump under SPR and ultra‐sensitive tools of its control, this technology offers up to 100‐time improvement of the detection limit, giving access to the detection of trace amounts of small molecular weight analytes (drugs etc). This paper intends to provide a tutorial on basic concepts of phase detection in SPR sensing, compare the performance of phase‐ and amplitude‐sensitive sensors, review recent progress in the development and applications of phase‐sensitive SPR sensors, and outline future prospects and trends of this technology.</jats:p>",
"['Phase-polarisation contrast for surface plasmon resonance biosensors1This paper was presented at the Fifth World Congress on Biosensors, Berlin, Germany, 3–5 June 1998.1']",10.1016/s0956-5663(98)00088-8,,
['Plasmonic resonances in diffractive arrays of gold nanoantennas: near and far field effects'],10.1364/oe.20.027941,,
['Phase and amplitude sensitivities in surface plasmon resonance bio and chemical sensing'],10.1364/oe.17.021191,,
['Label-free optical biosensing: going beyond the limits'],10.1039/d3cs00155e,"<jats:p>We present newly-emerging approaches to unlock sensitivity barriers of current label-free optical biosensing transducers by employing novel structural architectures, artificial materials (metamaterials), and newly-observed optical phenomena.</jats:p>",
['Effects of deposition and post-fabrication conditions on photoluminescent properties of nanostructured Si/SiOx films prepared by laser ablation'],10.1016/s0169-4332(00)00780-7,,
['Mechanical modulation method for ultrasensitive phase measurements in photonics biosensing'],10.1364/oe.16.021305,,
['Femtosecond laser ablation of gold in water: influence of the laser-produced plasma on the nanoparticle size distribution'],10.1007/s00339-004-3081-4,,
['Size-controllable synthesis of bare gold nanoparticles by femtosecond laser fragmentation in water'],10.1088/0957-4484/26/6/065601,,
['Phase jumps and interferometric surface plasmon resonance imaging'],10.1063/1.125493,"<jats:p>Conditions at which phase of light demonstrates a markedly different behavior for close values of system parameters as well as the Heaviside jump are discussed and explained in terms of phase topology. On this basis, a method of interferometric surface plasmon resonance imaging is proposed and applied to develop ultrasensitive affinity array sensors with a monoatomic thickness resolution.</jats:p>",
['Synthesis of efficient ZnO-based random lasing medium using laser-induced air breakdown processing'],10.1063/1.2809606,"<jats:p>A simple local patterning laser-assisted method to transform bulk metallic Zn into a highly efficient ZnO-based random lasing medium is reported. The method uses the plasma of CO2 laser-induced air breakdown to treat the surface of a Zn target and thus transform it into a porous, nanostructured ZnO layer, which exhibits a strong exciton photoluminescence band in the UV (380nm). We show that the synthesized ZnO-based material can work as an efficient random lasing medium, simultaneously strongly scattering and amplifying pumping light, leading to a mirrorless generation of few laser emission narrow (&amp;lt;0.5nm) lines within the exciton band.</jats:p>",
['Characterization of high refractive index semiconductor films by surface plasmon resonance'],10.1364/ao.45.006640,,
['Influence of ambient medium on femtosecond laser processing of silicon'],10.1016/j.apsusc.2005.01.137,,
['Synthesis of Size-Tunable Polymer-Protected Gold Nanoparticles by Femtosecond Laser-Based Ablation and Seed Growth'],10.1021/jp809275v,,
['Near-infrared surface plasmon resonance sensing on a silicon platform'],10.1016/j.snb.2003.09.023,,
['Modeling the influence of the porosity of laser-ablated silicon films on their photoluminescence properties'],10.1016/j.apsusc.2007.10.016,,
"['Boundary integral method for the challenging problems in bandgap guiding, plasmonics and sensing']",10.1364/oe.15.010231,,
['Self-noise-filtering phase-sensitive surface plasmon resonance biosensing'],10.1364/oe.18.014353,,
['Silicon based total internal reflection bio and chemical sensing with spectral phase detection'],10.1364/oe.17.020847,,
['Ultrafast laser based “green” synthesis of non-toxic nanoparticles in aqueous solutions'],10.1007/s00339-008-4773-y,,
['Correlation between photoluminescence properties and morphology of laser-ablated Si/SiOx nanostructured films'],10.1063/1.1446217,"<jats:p>Pulsed laser ablation in an inert gas has been used to fabricate films containing silicon nanocrystals. We show that film microstructure is one of the main factors, determining long-term photoluminescence (PL) properties. Films with different porosity were found to exhibit PL signals with quite different peak energies, integral intensities and time-dependent evolutions. The distinction of these PL properties is attributed to the different efficiency of surface chemistry interactions between Si nanocrystallites and the ambient atmosphere for films having different porosities. Oxygen-related defects and other mechanisms are discussed to explain the PL properties of the films.</jats:p>",
['Experimental study of spontaneous electric field generated by a laser plasma'],10.1063/1.121711,"<jats:p>We report investigations of a space-time structure of the electric field of laser plasma from a solid target. An ArF excimer laser with an intensity of I≅108 W/cm2 was used to produce the plasma on various targets placed in air at atmospheric pressure. A strong difference in both the amplitude (by more than 1–2 orders of magnitude) and the structure of the electric field for conductive and dielectric targets has been observed. The field distribution for a conductive target was found to correspond to a dipole configuration of charges in the laser plasma, while for the dielectric target a quadrupole configuration was revealed. Possible explanations and applications of the observed effect are discussed.</jats:p>",
['Photonic Crystal Fiber and Waveguide-Based Surface Plasmon Resonance Sensors for Application in the Visible and Near-IR'],10.1080/02726340801921627,,
['Multi-layer Si-Based Surface Plasmon Resonance Structure for Absorption Sensing'],10.1081/al-120026570,,
['Fabrication of Stable Nanofiber Matrices for Tissue Engineering via Electrospinning of Bare Laser-Synthesized Au Nanoparticles in Solutions of High Molecular Weight Chitosan'],10.3390/nano9081058,"<jats:p>We report a methodology for the fabrication of neutralized chitosan-based nanofiber matrices decorated with bare Au nanoparticles, which demonstrate stable characteristics even after prolonged contact with a biological environment. The methodology consists of electrospinning of a mixture of bare (ligand-free) laser-synthesized Au nanoparticles (AuNPs) and solutions of chitosan/polyethylene oxide (ratio 1/3) containing chitosan of a relatively high molecular weight (200 kDa) and concentration of 3% (w/v). Our studies reveal a continuous morphology of hybrid nanofibers with the mean fiber diameter of 189 nm ± 86 nm, which demonstrate a high thermal stability. Finally, we describe a protocol for the neutralization of nanofibers, which enabled us to achieve their structural stability in phosphate-buffered saline (PBS) for more than six months, as confirmed by microscopy and FTIR measurements. The formed hybrid nanofibers exhibit unique physicochemical properties essential for the development of future tissue engineering platforms.</jats:p>",
['Properties and sensing characteristics of surface-plasmon resonance in infrared light'],10.1364/josaa.20.001644,,
['Smart Electrospun Hybrid Nanofibers Functionalized with Ligand-Free Titanium Nitride (TiN) Nanoparticles for Tissue Engineering'],10.3390/nano11020519,"<jats:p>Herein, we report the fabrication and characterization of novel polycaprolactone (PCL)-based nanofibers functionalized with bare (ligand-free) titanium nitride (TiN) nanoparticles (NPs) for tissue engineering applications. Nanofibers were prepared by a newly developed protocol based on the electrospinning of PCL solutions together with TiN NPs synthesized by femtosecond laser ablation in acetone. The generated hybrid nanofibers were characterised using spectroscopy, microscopy, and thermal analysis techniques. As shown by scanning electron microscopy measurements, the fabricated electrospun nanofibers had uniform morphology, while their diameter varied between 0.403 ± 0.230 µm and 1.1 ± 0.15 µm by optimising electrospinning solutions and parameters. Thermal analysis measurements demonstrated that the inclusion of TiN NPs in nanofibers led to slight variation in mass degradation initiation and phase change behaviour (Tm). In vitro viability tests using the incubation of 3T3 fibroblast cells in a nanofiber-based matrix did not reveal any adverse effects, confirming the biocompatibility of hybrid nanofiber structures. The generated hybrid nanofibers functionalized with plasmonic TiN NPs are promising for the development of smart scaffold for tissue engineering platforms and open up new avenues for theranostic applications.</jats:p>",
['Sensitivity of collective plasmon modes of gold nanoresonators to local environment'],10.1364/ol.35.000956,,
['Electric fields of a laser plasma formed by optical breakdown of air near various targets'],10.1070/qe1998v028n01abeh001147,,
['Fabrication and Characterization of Gold Nanoparticles by Femtosecond Laser Ablation in an Aqueous Solution of Cyclodextrins'],10.1021/jp034345q,,
['Plasmonic Si@Au core-satellite nanoparticles prepared by laser-assisted synthesis for photothermal therapy'],10.1088/1742-6596/2058/1/012008,"<jats:title>Abstract</jats:title><jats:p>We describe a laser-assisted methodology for the fabrication of Si@Au core-satellite nanostructures for photothermal therapy applications. The methodology consists in laser ablative synthesis of Si and Au NPs in water/ethanol solutions, followed by a chemical modification of the Si NPs by APTMS and their subsequent decoration by the Au NPs. We show that despite a relatively small size (&lt; 40 nm) the formed core-satellites exhibit a strong plasmonic absorption peak centred around 610 nm and having a large tail over 700 nm overlapping with the first optical window of relative tissue transparency. Being relatively small and exempt of any toxic impurity due to ultraclean laser synthesis, the fabricated nanoparticles promise a major advancement of imaging and phototherapy modalities based on plasmonic properties of nanomatererials.</jats:p>",
['Silicon-based surface plasmon resonance sensing with two surface plasmon polariton modes'],10.1364/ao.42.006905,,
['Photoluminescence properties of silicon nanocrystals grown by nanosecond laser ablation of solid-state targets in an inert gas atmosphere'],10.3103/s106833561712003x,,
['Phase-sensitive spatially-modulated surface plasmon resonance polarimetry for detection of biomolecular interactions'],10.1016/j.snb.2008.03.044,,
['Photonic bandgap fiber-based Surface Plasmon Resonance sensors'],10.1364/oe.15.011413,,
['Light-Tunable Plasmonic Nanoarchitectures Using Gold Nanoparticle–Azobenzene-Containing Cationic Surfactant Complexes'],10.1021/jp511232g,,
['Particle-free inkjet printing of nanostructured porous indium tin oxide thin films'],10.1039/c3ra40487k,,
"['International Symposium and International School for Young Scientists on “Physics, Engineering and Technologies for Biomedicine”']",10.1088/1742-6596/2058/1/011001,"<jats:title>Abstract</jats:title>
               <jats:p>International Symposium and International School for Young Scientists on “Physics, Engineering and Technologies for Biomedicine” (PhysBioSymp) is an annually held event in National Research Nuclear University MEPhI (https://eng.mephi.ru/) (Moscow, Russia) since 2016. This symposium is conceived as the main conference of the Institute of Engineering Physics for Biomedicine (PhysBio, https://physbio.mephi.ru/), which is one of new strategic academic units founded in 2016 in the course of transformation of MEPhI from the technical to a global university in order to extend its portfolio toward life sciences, chemical and biomedical engineering. Following the chosen strategy, PhysBio aims at the advancement of its international reputation in biomedical sciences and technologies, as well as the integration of latest research achievements into the educational process in order to contribute to the solution of global problems, such as early diagnostics and efficient therapy of socially significant diseases, including cancer. Conceived as an essentially interdisciplinary institution, PhysBio is unique in combining powerful background of MEPhI in physics, mathematics, engineering, material sciences, nanotechnologies and expertise in new areas in chemistry and biology in order to develop breakthrough technologies for biomedical applications.</jats:p>
               <jats:p>List of Committees are available in this pdf.</jats:p>",
['Plasmonic Surface Lattice Resonances: A Review of Properties and Applications'],10.1021/acs.chemrev.8b00243,,
['Thermal Cis-to-Trans Isomerization of Azobenzene-Containing Molecules Enhanced by Gold Nanoparticles: An Experimental and Theoretical Study'],10.1021/acs.jpcc.5b02473,,
['Correction to “Light-Tunable Plasmonic Nanoarchitectures Using Gold Nanoparticle–Azobenzene-Containing Cationic Surfactant Complexes”'],10.1021/acs.jpcc.5b03885,,
['Transforming Nuclear Medicine with Nanoradiopharmaceuticals'],10.1021/acsnano.1c10550,,
['Synthesis of bismuth-based coordination polymer for biomedical applications'],10.1088/1742-6596/2058/1/012012,"<jats:title>Abstract</jats:title>
               <jats:p>Metal organic frameworks (MOFs) are of great interest for biomedicine due to their high loading capacity of various drugs, dyes, and other small molecules. <jats:italic>In vivo</jats:italic> application of MOFs requires small sizes of nanoparticles and their high colloidal stability. Here we designed the first nano-sized MOFs composed of bismuth and trimesic acid by a rapid microwave-assisted solvothermal method. After coating of the prepared nanoparticles with polyacrylic acid they show improved colloidal stability in aqueous solutions. These particles have 2.2 times higher X-ray attenuation ability than a clinically used BaSO4 agent. Also, they demonstrate high loading efficiency for organic dyes: 35.5 % w/w for Rose bengal and 17.9 % w/w for Rhodamine B.</jats:p>",
['Laser-Processed Nanosilicon: A Multifunctional Nanomaterial for Energy and Healthcare'],10.1021/acsnano.9b04610,,
['Stabilization and Size Control of Gold Nanoparticles during Laser Ablation in Aqueous Cyclodextrins'],10.1021/ja048678s,,
['Designing efficient zero calibration point for phase-sensitive surface plasmon resonance biosensing'],10.1364/oe.17.002255,,
['Fabrication of thin ZnO films with wide-range tuned optical properties by reactive magnetron sputtering'],10.1088/1361-6641/aaa050,,
['Optical breakdown processing: Influence of the ambient gas on the properties of the nanostructured Si-based layers formed'],10.1063/1.1702102,"<jats:p>Porous nanostructured layers, exhibiting 2–2.2 eV photoluminescent (PL) emission, have been formed on silicon surfaces by the production of optical breakdown in different gases (air, Ar2, He,N2, O2), maintained at atmospheric pressure. We found a significant influence of the ambient gas characteristics on the morphological and chemical properties of the layers produced, as well as on the PL efficiency. Gases with relatively low ionization potentials (air, N2,O2) were found to better support the optical discharge and to provide the strongest plasma-related heating of the substrate material. This led to considerable microstructural and composition modifications, which gave rise to the maximization of PL emissions. In particular, for O2, with the lowest ionization potential, we observed local plasma-provoked melting of the target surface and the disappearance of the porous structure of the layer. We also found a clear correlation between the PL properties of the layers, subsequent to fabrication, as well as after prolonged aging, and the presence of different oxygen-containing compounds. The structures produced are of importance for optoelectronics and biosensing applications.</jats:p>",
['Temperature oscillations during photoinduced heating of aqueous suspensions of silicon nanoparticles'],10.1088/1742-6596/2058/1/012032,"<jats:title>Abstract</jats:title>
               <jats:p>Temperature oscillations (pulsations) were detected in aqueous suspensions of silicon (Si) nanoparticles NPs under laser irradiation with highly absorbed light. The temperature pulsation frequency was found to depend on the NPs concentration in suspension and laser irradiation power. The observed phenomenon is assumed to be caused by the local overheating of Si NPs close to the boiling point of water, while the average heating of the surrounding liquid was insignificant. The observed phenomenon is discussed in view of potential applications in local photo-induced hyperthermia of cancer.</jats:p>",
['Nanofabrication with Pulsed Lasers'],10.1007/s11671-010-9543-z,,
['Laser Ablation-Assisted Synthesis of Plasmonic Si@Au Core-Satellite Nanocomposites for Biomedical Applications'],10.3390/nano11030592,"<jats:p>Owing to strong plasmonic absorption and excellent biocompatibility, gold nanostructures are among best candidates for photoacoustic bioimaging and photothermal therapy, but such applications require ultrapure Au-based nanoformulations of complex geometry (core-shells, nanorods) in order to shift the absorption band toward the region of relative tissue transparency (650–1000 nm). Here, we present a methodology for the fabrication of Si@Au core-satellite nanostructures, comprising of a Si core covered with small Au nanoparticles (NP), based on laser ablative synthesis of Si and Au NPs in water/ethanol solutions, followed by a chemical modification of the Si NPs by 3-aminopropyltrimethoxysilane (APTMS) and their subsequent decoration by the Au NPs. We show that the formed core-satellites have a red-shifted plasmonic absorption feature compared to that of pure Au NPs (520 nm), with the position of the peak depending on APTMS amount, water−ethanol solvent percentage and Si−Au volume ratio. As an example, even relatively small 40-nm core-satellites (34 nm Si core + 4 nm Au shell) provided a much red shifted peak centered around 610 nm and having a large tail over 700 nm. The generation of the plasmonic peak is confirmed by modeling of Si@Au core-shells of relevant parameters via Mie theory. Being relatively small and exempt of any toxic impurity due to ultraclean laser synthesis, the Si@Au core-satellites promise a major advancement of imaging and phototherapy modalities based on plasmonic properties of nanomaterials.</jats:p>",
['Toward multifunctional hybrid platforms for tissue engineering based on chitosan(PEO) nanofibers functionalized by bare laser-synthesized Au and Si nanoparticles'],10.1039/c7ra02255g,"<p>Exhibiting a variety of unique optical, structural and physicochemical properties, laser-synthesized nanomaterials have become increasingly popular during recent years in a variety of biomedical, catalytic, photovoltaic and other applications.</p>",
['Laser-ablative engineering of phase singularities in plasmonic metamaterial arrays for biosensing applications'],10.1063/1.4865553,"<jats:p>By using methods of laser-induced transfer combined with nanoparticle lithography, we design and fabricate large-area gold nanoparticle-based metamaterial arrays exhibiting extreme Heaviside-like phase jumps in reflected light due to a strong diffractive coupling of localized plasmons. When employed in sensing schemes, these phase singularities provide the sensitivity of 5 × 104 deg. of phase shift per refractive index unit change that is comparable with best values reported for plasmonic biosensors. The implementation of sensor platforms on the basis of such metamaterial arrays promises a drastic improvement of sensitivity and cost efficiency of plasmonic biosensing devices.</jats:p>",
['3D plasmonic crystal metamaterials for ultra-sensitive biosensing'],10.1038/srep25380,"<jats:title>Abstract</jats:title><jats:p>We explore the excitation of plasmons in 3D plasmon crystal metamaterials and report the observation of a delocalized plasmon mode, which provides extremely high spectral sensitivity (&gt;2600 nm per refractive index unit (RIU) change), outperforming all plasmonic counterparts excited in 2D nanoscale geometries, as well as a prominent phase-sensitive response (&gt;3*10<jats:sup>4</jats:sup> deg. of phase per RIU). Combined with a large surface for bioimmobilization provided by the 3D matrix, the proposed sensor architecture promises a new important landmark in the advancement of plasmonic biosensing technology.</jats:p>",
['Polymer-coated BiOCl nanosheets for safe and regioselective gastrointestinal X-ray imaging'],10.1016/j.jconrel.2022.07.007,,
['Laser-plasma generation of currents along a conductive target'],10.1063/1.346408,"<jats:p>Large electric currents have been observed along conductive targets on which plasma was initiated by means of spatially modulated radiation. Two successive pulses of TEA CO2laser with intensities I≤109 W/cm2 were used in the experiments. The most effective generation of the currents was observed during the second laser pulse delayed for 4 μs, when an asymmetric plasma ‘‘grating’’ was produced on the target. Two different mechanisms for generating such currents in a closed circuit have been established. One of them results from a dipole moment of plasma, while the other is due to the processes at plasma-surface interface. To obtain correct measurements of the voltage induced by a laser plasma, a fiber optical modulator of light has been used for the first time.</jats:p>",
['Phase-sensitive time-modulated surface plasmon resonance polarimetry for wide dynamic range biosensing'],10.1364/oe.15.001745,,
['Surface Chemistry of Gold Nanoparticles Produced by Laser Ablation in Aqueous Media'],10.1021/jp047134+,,
['Ultrafast laser ablation of gold in liquids: Effect of laser pulse overlap-induced surface porosity on size distribution of formed nanoparticles'],10.1016/j.apsusc.2023.158662,,
['Photodynamic therapy with silicon nanoparticles'],10.1016/j.pdpdt.2011.03.280,,
['Silicon nanoparticles produced by femtosecond laser ablation in water as novel contamination-free photosensitizers'],10.1117/1.3086608,,
['Topological Darkness: How to Design a Metamaterial for Optical Biosensing with Ultrahigh Sensitivity'],10.1021/acsnano.3c06655,,
['Ex vivo biodistribution of gallium-68-labeled porous silicon nanoparticles'],10.1088/1742-6596/1439/1/012035,"<jats:title>Abstract</jats:title>
               <jats:p>The introduction of nanotechnology in nuclear imaging has gained significant interest and could have promising potential for clinical use. Tumor imaging with radiolabeled nanoparticles (NPs) may be used for early detection, characterization, staging of disease, and for monitoring treatment efficacy. In this study we evaluated the biodistribution of porous silicon NPs labeled with positron-emitter gallium-68 in Wistar rats with subcutaneously transplanted cholangioma RS-1. The uptake of <jats:sup>68</jats:sup>Ga-NPs in tumor tissue was 0.24±0.02 %ID/g at 5 min postinjection (p.i.) and climbed to 0.87±0.07 %ID/g at 5 h p.i. On the other hand, the amount of free <jats:sup>68</jats:sup>Ga injected as <jats:sup>68</jats:sup>GaCl3 solution decreased from 0.34±0.07 %ID/g at 5 min p.i. to 0.07±0.01 %ID/g at 5 h p.i. The highest level of radioactivity revealed in liver (8.27–15.79 %ID/g), spleen (0.98–1.27 %ID/g), and lungs (0.98–1.80 %ID/g). <jats:sup>68</jats:sup>Ga-NPs were also determined in blood: up to 3.33±0.14 %ID/g at 5 min p.i. The uptake of <jats:sup>68</jats:sup>Ga-NPs in other organs and tissues didn’t exceed 1 %ID/g. In conclusion, the obtained results suggest that <jats:sup>68</jats:sup>Ga-NPs could be suitable for use as molecular imaging probes.</jats:p>",
['Novel advanced nanotechnologies for nuclear medicine'],10.1088/1742-6596/2058/1/012035,"<jats:title>Abstract</jats:title><jats:p>Nuclear nanomedicine forms a new research field based on the synergy of nuclear medicine and nanotechnology and implying the use of nanomaterials as carriers of diagnostic or therapeutic radionuclides. Such an approach promises a series of advantages over classical methods of nuclear medicine, including an increased surface area-to-volume ratio, passive/active delivery, high loading capacity, large cross-section in interactions with biological tissues, and unique properties of nanomaterials that make possible many functionalities within one construct. In this short review article, we will highlight our recent achievements in the development of nuclear nanomedicine technologies, which promise the advancement of methods for cancer treatment.</jats:p>",
['Laser-ablative nanostructuring of surfaces'],10.1504/ijnt.2012.045329,,
